"source","type","title","author","date","url","url_access_date","url_archive_date","url_archived","doi"
"tech_data_generation","report","Technology Data Generation of Electricity","Danish Energy Agency","2016-08-01","https://ens.dk/media/3273/download","2025-05-06 16:02:04","2025-05-06 16:02:04","http://web.archive.org/web/20250506160204/https://ens.dk/media/3273/download",
"atb_nrel","report","NREL ATB electricity","NREL/ATB","2024-08-01","https://oedi-data-lake.s3.amazonaws.com/ATB/electricity/parquet/2024/v3.0.0/ATBe.parquet","2025-05-22 15:08:02","2025-05-22 15:08:02","https://web.archive.org/web/20250522150802/https://oedi-data-lake.s3.amazonaws.com/ATB/electricity/parquet/2024/v3.0.0/ATBe.parquet",
