technology,parameter,year,value,unit,currency_year,source,further_description,financial_case,scenario
direct air capture,investment,2020,19180739.93,USD/t_CO2/h,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
direct air capture,investment,2020,7103597.31,USD/t_CO2/h,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
direct air capture,electricity-input,2020,0.24,MWh_el/t_CO2,,ICCT IRA e-fuels assumptions ,,,
direct air capture,heat-input,2020,1.17,MWh_th/t_CO2,,ICCT IRA e-fuels assumptions ,,,
Coal-IGCC,lifetime,2020,40,years,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Coal-IGCC-90%-CCS,lifetime,2030,40,years,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Coal-95%-CCS,lifetime,2030,40,years,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Coal-99%-CCS,lifetime,2030,40,years,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
NG 2-on-1 Combined Cycle (F-Frame),lifetime,2030,30,years,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
NG 2-on-1 Combined Cycle (F-Frame) 95% CCS,lifetime,2030,30,years,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
NG 2-on-1 Combined Cycle (F-Frame) 97% CCS,lifetime,2030,30,years,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Coal-95%-CCS,capture_rate,2030,0.95,per unit,-,"NREL, NREL ATB 2024",,,
Coal-99%-CCS,capture_rate,2030,0.99,per unit,-,"NREL, NREL ATB 2024",,,
Coal-IGCC-90%-CCS,capture_rate,2030,0.9,per unit,-,"NREL, NREL ATB 2024",,,
NG 2-on-1 Combined Cycle (F-Frame) 95% CCS,capture_rate,2030,0.95,per unit,-,"NREL, NREL ATB 2024",,,
NG 2-on-1 Combined Cycle (F-Frame) 97% CCS,capture_rate,2030,0.97,per unit,-,"NREL, NREL ATB 2024",,,
Coal-IGCC,efficiency,2020,0.5,p.u.,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Coal-IGCC-90%-CCS,efficiency,2030,0.403,p.u.,,"JRC, 01_JRC-EU-TIMES Full model ",,,
NG 2-on-1 Combined Cycle (F-Frame),efficiency,2020,0.573,p.u.,-,"NREL, “Cost and performance projections for coal- and natural gas-fired power plants""",,,
Coal-95%-CCS,efficiency,2030,0.403,p.u.,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Coal-99%-CCS,efficiency,2030,0.403,p.u.,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
NG 2-on-1 Combined Cycle (F-Frame),efficiency,2030,0.573,p.u.,-,"NREL, “Cost and performance projections for coal- and natural gas-fired power plants""",,,
NG 2-on-1 Combined Cycle (F-Frame) 95% CCS,efficiency,2030,0.527,p.u.,-,"NREL, “Cost and performance projections for coal- and natural gas-fired power plants""",,,
NG 2-on-1 Combined Cycle (F-Frame) 97% CCS,efficiency,2030,0.525,p.u.,-,"NREL, “Cost and performance projections for coal- and natural gas-fired power plants""",,,
Coal integrated retrofit 90%-CCS,capture_rate,2030,0.9,per unit,-,"NREL, “Cost and performance projections for coal- and natural gas-fired power plants""",,,
Coal integrated retrofit 95%-CCS,capture_rate,2030,0.95,per unit,-,"NREL, “Cost and performance projections for coal- and natural gas-fired power plants""",,,
NG Combined Cycle F-Class integrated retrofit 90%-CCS,capture_rate,2030,0.9,per unit,-,"NREL, “Cost and performance projections for coal- and natural gas-fired power plants""",,,
NG Combined Cycle F-Class integrated retrofit 95%-CCS,capture_rate,2030,0.95,per unit,-,"NREL, “Cost and performance projections for coal- and natural gas-fired power plants""",,,
Coal integrated retrofit 90%-CCS,efficiency,2030,0.386,p.u.,-,"NREL, “Cost and performance projections for coal- and natural gas-fired power plants""",,,
Coal integrated retrofit 95%-CCS,efficiency,2030,0.386,p.u.,-,"NREL, “Cost and performance projections for coal- and natural gas-fired power plants""",,,
NG Combined Cycle F-Class integrated retrofit 90%-CCS,efficiency,2030,0.536,p.u.,-,"NREL, “Cost and performance projections for coal- and natural gas-fired power plants""",,,
NG Combined Cycle F-Class integrated retrofit 95%-CCS,efficiency,2030,0.536,p.u.,-,"NREL, “Cost and performance projections for coal- and natural gas-fired power plants""",,,
Natural gas steam reforming,lifetime,2020,20,years,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Coal gasification,lifetime,2020,20,years,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Heavy oil partial oxidation,lifetime,2020,20,years,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Alkaline electrolyzer,lifetime,2020,30,years,-,ICCT IRA e-fuels assumptions ,,,
PEM electrolyzer,lifetime,2020,30,years,-,ICCT IRA e-fuels assumptions ,,,
SOEC,lifetime,2020,30,years,-,ICCT IRA e-fuels assumptions ,,,
Solid biomass steam reforming,lifetime,2020,20,years,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Biomass gasification,lifetime,2020,20,years,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Natural gas steam reforming CC,lifetime,2020,20,years,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Coal gasification CC,lifetime,2020,20,years,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Biomass gasification CC,lifetime,2020,20,years,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Natural gas steam reforming,efficiency,2020,0.75,p.u.,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Natural gas steam reforming,efficiency,2050,0.787,p.u.,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Coal gasification,efficiency,2020,0.56,p.u.,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Coal gasification,efficiency,2050,0.787,p.u.,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Heavy oil partial oxidation,efficiency,2020,0.734,p.u.,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Alkaline electrolyzer,efficiency,2020,0.65,p.u.,-,ICCT IRA e-fuels assumptions ,,,
Alkaline electrolyzer,efficiency,2030,0.69,p.u.,-,ICCT IRA e-fuels assumptions ,,,
Alkaline electrolyzer,efficiency,2040,0.74,p.u.,-,ICCT IRA e-fuels assumptions ,,,
Alkaline electrolyzer,efficiency,2050,0.78,p.u.,-,ICCT IRA e-fuels assumptions ,,,
PEM electrolyzer,efficiency,2020,0.63,p.u.,-,ICCT IRA e-fuels assumptions ,,,
PEM electrolyzer,efficiency,2030,0.68,p.u.,-,ICCT IRA e-fuels assumptions ,,,
PEM electrolyzer,efficiency,2040,0.71,p.u.,-,ICCT IRA e-fuels assumptions ,,,
PEM electrolyzer,efficiency,2050,0.73,p.u.,-,ICCT IRA e-fuels assumptions ,,,
SOEC,efficiency,2020,0.82,p.u.,-,ICCT IRA e-fuels assumptions ,,,
SOEC,efficiency,2030,0.84,p.u.,-,ICCT IRA e-fuels assumptions ,,,
SOEC,efficiency,2040,0.87,p.u.,-,ICCT IRA e-fuels assumptions ,,,
SOEC,efficiency,2050,0.9,p.u.,-,ICCT IRA e-fuels assumptions ,,,
Solid biomass steam reforming,efficiency,2020,0.712,p.u.,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Biomass gasification,efficiency,2020,0.35,p.u.,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Biomass gasification,efficiency,2050,0.525,p.u.,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Natural gas steam reforming CC,efficiency,2030,0.637,p.u.,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Natural gas steam reforming CC,efficiency,2050,0.695,p.u.,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Coal gasification CC,efficiency,2030,0.532,p.u.,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Coal gasification CC,efficiency,2030,0.609,p.u.,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Biomass gasification CC,efficiency,2030,0.328,p.u.,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Biomass gasification CC,efficiency,2040,0.514,p.u.,-,"JRC, 01_JRC-EU-TIMES Full model ",,,
Natural gas steam reforming,investment,2020,186.9,EUR/kW,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
Natural gas steam reforming,investment,2030,158.31,EUR/kW,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
Coal gasification,investment,2020,425.42,EUR/kW,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
Coal gasification,investment,2030,351,EUR/kW,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
Heavy oil partial oxidation,investment,2020,431.73,EUR/kW,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
Alkaline electrolyzer,investment,2020,1146,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Moderate
Alkaline electrolyzer,investment,2030,936,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Moderate
Alkaline electrolyzer,investment,2040,765,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Moderate
Alkaline electrolyzer,investment,2050,625,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Moderate
PEM electrolyzer,investment,2020,1371,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Moderate
PEM electrolyzer,investment,2030,1120,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Moderate
PEM electrolyzer,investment,2040,915,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Moderate
PEM electrolyzer,investment,2050,748,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Moderate
SOEC,investment,2020,1561,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Moderate
SOEC,investment,2030,1276,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Moderate
SOEC,investment,2040,1042,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Moderate
SOEC,investment,2050,852,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Moderate
Alkaline electrolyzer,investment,2020,1471,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Conservative
Alkaline electrolyzer,investment,2030,1142,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Conservative
Alkaline electrolyzer,investment,2040,886,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Conservative
Alkaline electrolyzer,investment,2050,688,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Conservative
PEM electrolyzer,investment,2020,2399,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Conservative
PEM electrolyzer,investment,2030,1862,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Conservative
PEM electrolyzer,investment,2040,1446,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Conservative
PEM electrolyzer,investment,2050,1122,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Conservative
SOEC,investment,2020,2651,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Conservative
SOEC,investment,2030,2058,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Conservative
SOEC,investment,2040,1597,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Conservative
SOEC,investment,2050,1240,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Conservative
Alkaline electrolyzer,investment,2020,662,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Advanced
Alkaline electrolyzer,investment,2030,630,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Advanced
Alkaline electrolyzer,investment,2040,599,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Advanced
Alkaline electrolyzer,investment,2050,570,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Advanced
PEM electrolyzer,investment,2020,447,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Advanced
PEM electrolyzer,investment,2030,425,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Advanced
PEM electrolyzer,investment,2040,404,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Advanced
PEM electrolyzer,investment,2050,384,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Advanced
SOEC,investment,2020,785,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Advanced
SOEC,investment,2030,747,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Advanced
SOEC,investment,2040,710,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Advanced
SOEC,investment,2050,676,USD/kW,2022,ICCT IRA e-fuels assumptions ,,R&D,Advanced
Alkaline electrolyzer,investment,2020,1146,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Moderate
Alkaline electrolyzer,investment,2030,936,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Moderate
Alkaline electrolyzer,investment,2040,765,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Moderate
Alkaline electrolyzer,investment,2050,625,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Moderate
PEM electrolyzer,investment,2020,1371,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Moderate
PEM electrolyzer,investment,2030,1120,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Moderate
PEM electrolyzer,investment,2040,915,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Moderate
PEM electrolyzer,investment,2050,748,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Moderate
SOEC,investment,2020,1561,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Moderate
SOEC,investment,2030,1276,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Moderate
SOEC,investment,2040,1042,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Moderate
SOEC,investment,2050,852,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Moderate
Alkaline electrolyzer,investment,2020,1471,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
Alkaline electrolyzer,investment,2030,1142,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
Alkaline electrolyzer,investment,2040,886,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
Alkaline electrolyzer,investment,2050,688,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
PEM electrolyzer,investment,2020,2399,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
PEM electrolyzer,investment,2030,1862,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
PEM electrolyzer,investment,2040,1446,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
PEM electrolyzer,investment,2050,1122,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
SOEC,investment,2020,2651,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
SOEC,investment,2030,2058,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
SOEC,investment,2040,1597,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
SOEC,investment,2050,1240,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
Alkaline electrolyzer,investment,2020,662,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
Alkaline electrolyzer,investment,2030,630,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
Alkaline electrolyzer,investment,2040,599,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
Alkaline electrolyzer,investment,2050,570,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
PEM electrolyzer,investment,2020,447,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
PEM electrolyzer,investment,2030,425,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
PEM electrolyzer,investment,2040,404,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
PEM electrolyzer,investment,2050,384,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
SOEC,investment,2020,785,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
SOEC,investment,2030,747,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
SOEC,investment,2040,710,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
SOEC,investment,2050,676,USD/kW,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
Alkaline electrolyzer,FOM,2020,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Moderate
Alkaline electrolyzer,FOM,2030,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Moderate
Alkaline electrolyzer,FOM,2050,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Moderate
PEM electrolyzer,FOM,2020,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Moderate
PEM electrolyzer,FOM,2030,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Moderate
PEM electrolyzer,FOM,2050,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Moderate
SOEC,FOM,2020,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Moderate
SOEC,FOM,2030,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Moderate
SOEC,FOM,2050,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Moderate
Alkaline electrolyzer,FOM,2020,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Conservative
Alkaline electrolyzer,FOM,2030,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Conservative
Alkaline electrolyzer,FOM,2050,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Conservative
PEM electrolyzer,FOM,2020,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Conservative
PEM electrolyzer,FOM,2030,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Conservative
PEM electrolyzer,FOM,2050,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Conservative
SOEC,FOM,2020,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Conservative
SOEC,FOM,2030,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Conservative
SOEC,FOM,2050,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Conservative
Alkaline electrolyzer,FOM,2020,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Advanced
Alkaline electrolyzer,FOM,2030,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Advanced
Alkaline electrolyzer,FOM,2050,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Advanced
PEM electrolyzer,FOM,2020,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Advanced
PEM electrolyzer,FOM,2030,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Advanced
PEM electrolyzer,FOM,2050,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Advanced
SOEC,FOM,2020,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Advanced
SOEC,FOM,2030,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Advanced
SOEC,FOM,2050,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,R&D,Advanced
Alkaline electrolyzer,FOM,2020,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Moderate
Alkaline electrolyzer,FOM,2030,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Moderate
Alkaline electrolyzer,FOM,2050,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Moderate
PEM electrolyzer,FOM,2020,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Moderate
PEM electrolyzer,FOM,2030,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Moderate
PEM electrolyzer,FOM,2050,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Moderate
SOEC,FOM,2020,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Moderate
SOEC,FOM,2030,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Moderate
SOEC,FOM,2050,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Moderate
Alkaline electrolyzer,FOM,2020,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
Alkaline electrolyzer,FOM,2030,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
Alkaline electrolyzer,FOM,2050,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
PEM electrolyzer,FOM,2020,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
PEM electrolyzer,FOM,2030,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
PEM electrolyzer,FOM,2050,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
SOEC,FOM,2020,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
SOEC,FOM,2030,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
SOEC,FOM,2050,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Conservative
Alkaline electrolyzer,FOM,2020,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
Alkaline electrolyzer,FOM,2030,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
Alkaline electrolyzer,FOM,2050,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
PEM electrolyzer,FOM,2020,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
PEM electrolyzer,FOM,2030,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
PEM electrolyzer,FOM,2050,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
SOEC,FOM,2020,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
SOEC,FOM,2030,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
SOEC,FOM,2050,0.04,%/year,2022,ICCT IRA e-fuels assumptions ,,Market,Advanced
Solid biomass steam reforming,FOM,2020,0.04,%/year,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
Solid biomass steam reforming,FOM,2020,0.05,%/year,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
Natural gas steam reforming CC,FOM,2030,0.05,%/year,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
Natural gas steam reforming CC,FOM,2050,0.05,%/year,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
Coal gasification CC,FOM,2030,0.07,%/year,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
Biomass gasification CC,FOM,2030,0.02,%/year,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
Solid biomass steam reforming,investment,2020,519.4,EUR/kW,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
Biomass gasification,investment,2020,1290.45,EUR/kW,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
Natural gas steam reforming CC,investment,2030,284.77,EUR/kW,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
Natural gas steam reforming CC,investment,2030,284.77,EUR/kW,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
Coal gasification CC,investment,2030,571.12,EUR/kW,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
Biomass gasification CC,investment,2030,2651.23,EUR/kW,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
Natural gas steam reforming,FOM,2020,0.05,%/year,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
Natural gas steam reforming,FOM,2030,0.05,%/year,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
Coal gasification,FOM,2020,0.06,%/year,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
Coal gasification,FOM,2030,0.06,%/year,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
Heavy oil partial oxidation,FOM,2020,0.05,%/year,2010,"JRC, 01_JRC-EU-TIMES Full model ",,,
